ID				Latitude				Longitude				Time
64597				35.01				73.06				01:05:53
24568				24.63				27.41				01:53:26
49834				48.59				78.99				15:45:39
83706				41.34				91.49				00:36:48
53676				58.67				34.35				20:36:17
47444				27.61				85.1				16:07:45
63836				51.23				50.93				15:24:43
79106				87.64				91.09				08:27:28
31319				87.86				0.7016				01:29:44
44391				67.94				17.18				01:03:40
32403				58.89				1.332				19:08:10
20336				12.17				87.19				16:42:07
65579				96.74				31.61				02:17:21
31029				15.05				18.63				04:24:53
57132				29.19				51				04:16:37
109909				62.03				14.9				17:51:40
53787				43.79				57.53				01:48:02
108119				79.65				98.02				00:54:40
96987				86.53				41.21				12:00:07
69976				53.27				30.2				11:33:36
70498				90.63				72.51				14:56:07
21939				32.96				27.68				19:52:20
63728				66.18				56.94				21:10:23
59421				54.58				94.21				05:04:03
99176				54.48				22.94				05:12:16
88610				99.69				41.53				22:18:39
30928				5.755				26.95				10:09:58
33607				6.588				30.25				04:24:26
40842				54.89				21.63				20:33:05
109362				20.95				43.3				00:08:40
82672				69.83				62.75				12:39:53
12385				46.28				86.93				12:21:05
21655				12.63				91.6				02:13:24
64859				88.79				18.64				11:09:27
71646				58.2				50.08				00:55:22
69254				49.17				67.28				14:23:11
93743				13.56				94.44				21:14:40
42156				94.37				21.29				01:34:21
67122				2.066				16.26				11:24:35
10360				3.845				19.1				17:36:46
80743				71.37				66.66				19:48:27
55536				65.2				74.16				16:24:22
71886				44.19				77.62				23:57:34
76644				66.7				48				10:42:19
29327				46.61				34.85				12:51:46
94896				44.42				75.32				07:18:11
101255				20				70.46				23:54:37
67747				76.6				66.36				21:25:11
33371				43.86				57.7				23:20:29
36548				39.49				61.69				23:52:38
19837				75.53				78.46				16:49:01
99061				65.51				90.2				02:37:31
17698				68.83				57.47				22:00:39
60157				89.9				80.84				02:15:01
49446				87.81				1.74				10:08:05
30627				51.44				33.08				08:15:58
33515				61.83				32.72				06:41:48
33320				98.7				10.55				12:56:50
47914				9.046				35.87				17:37:02
27654				34.84				30.75				23:48:08
109389				22.8				49.46				00:38:40
54329				69.8				98.5				06:58:48
18478				77.2				39.46				15:52:30
40053				62.1				81.62				13:08:17
58415				77.28				30.51				12:47:13
30365				36.5				63.48				19:36:07
94837				31.6				12.55				08:07:13
93568				7.499				31.19				16:00:09
100598				55.91				7.971				18:03:05
62372				3.041				9.413				10:46:45
102265				10.32				7.445				12:42:24
97552				1.382				35.45				13:56:17
17296				24.53				13.31				01:19:43
81828				78.23				77.31				06:52:10
74057				91.77				11.15				21:24:42
63762				97.84				42.34				18:21:47
90636				86.68				64.09				04:31:31
69924				95.05				30.39				01:29:33
28494				18.84				88.34				13:34:06
24679				87.16				48.17				21:54:34
40837				73.74				77.24				15:12:03
21470				39.49				2.75				04:33:30
20555				28.21				71.34				03:35:58
107135				84.98				40.88				12:58:28
39734				91.48				39.18				00:00:02
64501				93.53				44.14				00:08:46
88121				11.09				2.47				21:44:03
76822				21.02				42.23				11:42:21
15256				80.86				60.44				20:31:48
18185				3.906				49.97				04:29:20
74274				3.16				3.528				03:06:05
19014				6.724				16.91				00:47:53
80791				36.2				35.33				06:23:51
64720				80.04				12.34				19:35:32
61855				79.69				47.1				20:30:38
50392				98.69				52				21:56:27
23681				73.37				69.93				19:21:33
107719				95.58				59.57				02:30:15
60078				5.523				30.02				14:31:32
33515				69.76				29.11				10:45:07
